soil,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
lobby,32.41,1960.52,2284.09,106.06,1007.25,3898.69,501.73,7428.19,11.08,41.27
lobby,31.52,1922.2,2299.83,107.55,974.46,4195.29,493.59,7360.69,11.31,40.68
lobby,31.17,1946.79,2320.02,106.93,991.36,3905.12,497.76,7435.78,10.82,40.65
lobby,24.91,1581.12,1988.05,90.35,723.39,3833.65,363.7,5741.51,7.81,38.35
lobby,24.06,1581.56,2008.49,84.91,686.47,4097.38,368.94,5712.18,7.35,39.15
lobby,27.06,1614.31,2045.46,95.64,738.05,4196.0,368.07,5752.68,8.26,39.01
lobby,22.34,1501.58,2090.9,50.51,657.48,3383.39,351.24,5089.92,5.39,36.72
lobby,21.55,1560.78,2107.07,57.32,676.8,3437.71,352.27,5085.76,6.01,37.36
lobby,21.74,1563.82,2174.38,61.81,682.14,3376.96,360.97,5226.83,6.8,37.52
lobby,23.27,1542.6,807.2,21.95,759.1,3331.93,430.26,5869.76,7.74,41.13
lobby,21.65,1517.92,876.38,18.72,716.59,3229.01,423.45,5785.02,7.77,40.74
lobby,21.83,1510.49,901.95,13.44,710.42,3123.24,428.3,5768.25,7.36,40.21
lobby,20.4,1519.15,1030.47,35.73,738.92,3094.65,372.41,5308.49,7.62,40.8
lobby,21.62,1566.36,1065.89,27.15,696.38,3038.19,382.31,5436.1,7.6,41.4
lobby,20.74,1526.4,1083.62,28.05,676.53,3231.87,378.05,5328.65,7.33,40.86
lobby,23.91,1886.67,1549.43,73.68,769.54,3932.99,506.09,6263.14,11.82,67.47
lobby,25.15,1892.94,1555.86,77.84,795.55,3877.96,503.75,6333.49,11.95,67.25
lobby,24.46,1953.24,1630.31,88.11,811.7,3915.84,516.94,6383.23,12.71,68.59
lobby,26.45,1742.86,1485.1,76.22,828.88,3217.58,475.37,6840.89,17.1,42.9
lobby,27.57,1757.35,1491.63,70.78,822.49,3264.03,479.41,6909.75,16.65,43.02
lobby,27.12,1744.87,1486.72,63.55,816.07,3127.53,476.37,6919.44,16.18,42.39
lobby,26.25,1793.16,1612.17,65.18,850.28,3269.75,526.6,6759.92,13.22,50.72
lobby,25.44,1732.11,1598.57,66.11,811.32,3247.6,512.97,6545.01,13.22,48.66
lobby,26.24,1742.77,1561.57,52.71,838.31,3073.92,507.52,6662.48,12.22,48.11
lobby,17.61,1354.26,1407.81,21.46,686.61,984.31,338.97,5248.62,5.52,35.5
lobby,18.7,1377.1,1508.85,24.43,711.48,1021.94,356.97,5379.05,6.64,38.0
lobby,17.98,1380.82,1522.94,23.64,714.62,1025.26,359.09,5436.12,6.69,37.94
lobby,16.9,1439.53,1467.02,19.9,708.67,1062.8,298.76,5135.72,5.71,39.14
lobby,16.51,1396.72,1484.25,19.49,704.21,1047.85,297.96,5162.76,5.5,39.66
lobby,16.8,1490.53,1503.51,21.44,743.79,1080.01,304.6,5286.09,5.58,39.78
lobby,22.61,1942.0,2317.43,115.05,1091.17,3516.32,555.42,6847.11,11.86,50.54
