id,soil,sample,rep,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
207,lobby,14,3,0,0,804.03,0,9142.31,2962.79,257.5,8512,24.5,29
208,lobby,15,1,0,0,871.69,0,8711.07,2998.88,377,9309,25,33
209,lobby,15,2,0,0,1019.66,0,8443.78,2873.09,335,9008,28,32
210,lobby,15,3,0,0,973.4,178,8980.02,3126.81,351,9345,29,29
211,lobby,16,1,0,0,744.67,0,8779.97,2887.39,321,8673,23,23
212,lobby,16,2,0,0,747.72,0,8872.94,2929.56,328,8925,27,28
213,lobby,16,3,0,0,794.87,203,8862.15,2971.01,326,9376,26,24
214,lobby,17,1,0,0,827.17,0,9055.56,3040.33,363,8659,29,30
215,lobby,17,2,0,0,813.2,0,9118.65,2982.44,363,9130,29,30
216,lobby,17,3,0,0,751.65,0,9510.46,3123.24,384,9108,29,27
217,lobby,18,1,0,0,694.47,167,9123.63,3304.77,273,8592,26,23
218,lobby,18,2,0,0,619.83,0,8869.62,3131.1,239,8359,21,24
219,lobby,18,3,0,0,671.34,0,9312.89,3358.38,259,8663,26,24
220,lobby,19,1,0,0,862.52,0,9825.89,3898.69,495,12802,24,37
221,lobby,19,2,0,0,869.51,0,10465.07,4195.29,544,12910,28,35
222,lobby,19,3,0,0,794.43,0,9986.1,3905.12,568,12859,30,41
223,lobby,20,1,0,0,854.67,184,8887.88,3833.65,390,10214,26,37
224,lobby,20,2,0,0,769.11,214,9109.52,4097.38,426,10059,29,36
225,lobby,20,3,0,0,737.25,0,9387.6,4196,427,10364,24,36
226,lobby,21,1,0,0,842.01,0,8240.4,3383.39,387,8349,28,33
227,lobby,21,2,0,0,854.67,166,8320.92,3437.71,369,8771,28,39
228,lobby,21,3,0,0,828.91,0,8278.59,3376.96,402,8654,24,35
229,lobby,22,1,0,0,853.36,0,8845.55,3331.93,412,9453,27,33
230,lobby,22,2,0,0,726.77,0,8628.06,3229.01,426,9367,29,38
231,lobby,22,3,0,0,776.53,0,8260.33,3123.24,387,8713,25,32
232,lobby,23,1,0,0,804.47,0,7886.78,3094.65,362,8320,26,37
233,lobby,23,2,0,0,931.05,168,7871.01,3038.19,343,8107,27,37
234,lobby,23,3,0,0,809.27,0,8116.72,3231.87,408,8256,28,39
235,lobby,24,1,0,0,908.36,0,7791.32,3932.99,477,10081,31,65
236,lobby,24,2,0,0,814.95,0,7854.41,3877.96,452,9821,27,56
237,lobby,24,3,0,0,859.03,0,7833.65,3915.84,490,9856,30,62
238,lobby,25,1,0,0,895.26,182,8148.26,3217.58,462,10940,30,41
239,lobby,25,2,0,0,835.9,0,8085.17,3264.03,487,11349,34,36
240,lobby,25,3,0,0,851.18,0,8012.13,3127.53,480,10956,31,34
241,lobby,26,1,0,0,912.29,0,8525.13,3269.75,509,11431,30,40
242,lobby,26,2,0,0,837.21,0,8231.27,3247.6,508,10684,30,43
243,lobby,26,3,0,0,756.45,0,8206.37,3073.92,516,10581,31,46
244,lobby,27,1,0,0,911.41,0,7879.31,2716.57,375,8770,30,39
245,lobby,27,2,0,0,838.08,0,7819.54,2791.62,373,9043,24,38
246,lobby,27,3,0,0,852.05,0,7724.08,2723.01,381,9583,28,39
247,lobby,28,1,0,0,826.73,0,8090.98,2961,336,9087,28,39
248,lobby,28,2,0,0,859.03,0,8214.67,2921.69,317,8868,25,39
249,lobby,28,3,0,0,890.46,0,8008.8,2898.11,294,8725,27,38
250,lobby,29,1,0,0,1048.04,0,8837.24,3516.32,558,11766,27,42
251,lobby,29,2,0,0,914.47,0,8013.79,3275.47,529,10630,27,44
252,lobby,29,3,0,0,1016.17,0,9339.46,3906.55,670,12246,32,47
253,lobby,30,1,0,0,805.34,0,9204.15,3702.86,361,10941,28,33
254,lobby,30,2,0,0,690.11,0,8842.23,3801.49,388,10565,24,32
255,lobby,30,3,0,0,861.21,190,9425.79,3912.27,374,10401,25,28
256,lobby,31,1,0,0,764.75,0,10006.03,4067.36,551,12546,28,40
257,lobby,31,2,0,0,838.95,0,10039.23,4050.92,543,12719,29,35
258,lobby,31,3,0,0,871.25,0,10016.82,3959.44,535,12291,29,39
259,lobby,32,1,0,0,930.18,0,11234.57,4301.06,628,14736,31,43
260,lobby,32,2,0,0,800.54,0,12081.28,4710.59,654,15088,30,48
261,lobby,32,3,0,0,953.75,0,12118.63,4383.97,685,14802,32,45
262,lobby,33,1,0,0,583.16,0,8903.65,2575.06,278,9024,27,27
263,lobby,33,2,0,0,687.49,0,9271.39,2837.36,262,9704,27,27
264,lobby,33,3,0,0,621.14,0,8833.09,2595.08,238,9332,25,28
265,lobby,34,1,0,0,707.13,0,8311.79,2824.49,200,7650,27,30
266,lobby,34,2,0,0,732.45,0,8315.94,2791.62,187,7965,26,28
267,lobby,34,3,0,0,659.55,0,8240.4,2841.65,182,7744,25,28
268,lobby,35,1,0,0,787.45,175,8277.76,2811.63,160,7580,24,24
269,lobby,35,2,0,0,741.61,0,8328.39,2585.07,171,7617,23,24
270,lobby,35,3,0,0,725.9,0,8401.44,2805.91,209,7759,25,24
271,lobby,36,1,0,0,680.07,0,8247.87,2645.1,188,7589,25,26
272,lobby,36,2,0,0,651.69,0,8393.97,2677.98,161,7613,24,29
273,lobby,36,3,0,0,785.26,0,8452.91,2843.08,178,7744,24,26
274,lobby,37,1,0,0,743.36,0,8090.15,2708,313,8056,28,35
275,lobby,37,2,0,0,620.27,0,8164.86,2646.53,329,8169,28,30
276,lobby,37,3,0,0,685.31,0,7745.66,2547.91,333,8133,26,34
277,lobby,38,1,0,0,722.84,0,8450.42,2532.9,359,8266,27,34
278,lobby,38,2,0,0,634.67,0,7916.66,2444.27,338,8054,25,31
279,lobby,38,3,0,0,699.71,0,8031.22,2419.26,310,8209,30,29
280,lobby,39,1,0,0,723.28,0,8758.39,3192.56,391,9703,24,33
281,lobby,39,2,0,0,688.36,0,8925.24,3376.96,404,9542,29,34
282,lobby,39,3,0,0,719.79,0,8573.27,3152.54,374,9635,27,34
283,lobby,40,1,0,0,654.31,0,9756.17,3510.61,466,12267,29,30
284,lobby,40,2,0,0,761.26,0,10182.01,3547.77,413,11789,29,34
