id,soil,sample,rep,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
243,lobby,37,2,20.75,1231.15,250.42,0.00,622.19,1043.01,315.34,5424.31,5.12,34.34
244,lobby,37,3,18.18,1168.68,237.14,0.00,570.30,984.94,295.65,5129.56,4.88,32.81
245,lobby,38,1,15.56,1103.03,296.65,0.00,583.63,939.69,338.39,5039.50,3.84,34.10
246,lobby,38,2,16.14,1094.85,290.39,0.00,583.62,939.58,339.83,5068.46,3.50,33.09
247,lobby,38,3,15.95,1107.48,291.08,0.00,575.09,925.57,340.54,5033.89,3.73,33.14
248,lobby,39,1,20.32,1480.59,728.51,21.81,742.16,0.00,361.26,5814.99,7.52,37.41
249,lobby,39,2,19.25,1453.88,788.42,21.40,691.42,0.00,358.70,5749.74,7.48,37.00
250,lobby,39,3,42.26,1482.42,835.49,19.11,815.66,0.00,359.02,5791.77,7.00,36.74
251,lobby,40,1,22.75,1589.97,954.93,32.99,751.45,0.00,388.72,6720.93,7.03,34.81
252,lobby,40,2,29.10,1524.49,963.43,39.77,757.94,0.00,376.27,6283.15,7.52,32.64
253,lobby,40,3,23.02,1597.57,1025.82,39.75,750.19,0.00,385.47,6562.84,7.29,33.61
254,lobby,41,1,19.37,1488.01,1421.00,72.43,738.80,0.00,387.69,6007.34,6.49,35.85
255,lobby,41,2,18.79,1475.94,1456.57,71.24,733.34,0.00,384.46,5928.64,6.09,35.32
256,lobby,41,3,27.46,1489.56,1485.42,71.81,865.00,0.00,386.00,5925.79,6.03,35.50
257,lobby,42,1,22.19,1514.20,1731.86,70.94,784.43,0.00,398.12,6267.83,8.82,35.67
258,lobby,42,2,20.85,1493.60,1766.55,65.67,689.84,0.00,396.64,6249.02,8.08,35.47
259,lobby,42,3,20.31,1507.13,1797.48,78.79,714.27,0.00,398.89,6245.90,9.41,35.87
260,lobby,43,1,17.49,1545.74,2216.64,70.04,700.70,0.00,301.86,5442.95,6.53,38.83
261,lobby,43,2,17.30,1545.67,2244.36,69.39,685.43,0.00,304.00,5439.50,6.62,39.06
262,lobby,43,3,17.22,1575.51,2257.02,72.03,699.02,0.00,301.77,5523.53,6.60,39.23
263,lobby,44,1,18.41,1532.33,2080.02,61.89,708.46,0.00,343.12,5541.80,7.45,37.98
264,lobby,44,2,17.80,1524.84,2086.00,58.72,710.33,0.00,343.17,5595.30,7.10,38.44
265,lobby,44,3,18.63,1555.53,2112.87,61.67,739.63,0.00,346.37,5712.30,7.18,38.77
